,title,company,description,employment_type,job_function
184,Senior IT Business Analyst,ASW Consulting,"
          <p><strong>About us</strong></p><p>ASW Consulting is an Australian-owned boutique recruitment and HR consultancy firm which is focused on providing top talent to multinational companies in the South East Asian market. </p><p><br></p><p><strong>The Opportunity</strong></p><p>The Business Analyst will play a key part in establishing and building a new business. This business will act as a centralized hub providing digital solutions and application development across the Digital business. You will bring a passion for meeting the needs of individuals and businesses through a range of banking products as well as a deep understanding of the benefits that technology can bring to customers’ daily lives.</p><p><br></p><p><strong>Key Responsibilities</strong></p><ul><li>Working with stakeholders to understand their needs, concerns, and the environment they operate in to define detailed requirements. Gather, organize and synthesize large amounts of information from various sources.</li><li>Effectively identify and define business needs and problems/issues to enable a feasible solution scope to be developed.</li><li>Effectively communicating requirements to stakeholders, managing conflicts, issues, and changes in order to ensure that stakeholders and project team members remain in agreement on solution scope.</li><li>Contributes to the conversion of business needs into functional designs and conducts product training as needed.</li><li>Identifies and manages gaps, determining the effectiveness of proposed solutions and developing Business Requirements documents and models.</li><li>Identify the risks associated with the proposed solution as well as the risk of not implementing the solution.</li><li>Work closely with Digital Product Owner (DPO) to understand product vision, priority, and roadmap, and clarify and manage the product backlog.</li><li>Ensure the Team understands the product requirements &amp; backlog and that the product is delivered at high quality.</li></ul><p><br></p><p><strong>Key Requirements</strong></p><ul><li>B.Sc or M.Sc in Computer Science or a related discipline with proven “hands-on” development experience.</li><li>At least 7+ years of experience in business analysis.</li><li>Excellent English communication (writing, reading, speaking, and listening).</li><li><strong>MUST HAVE</strong> a domain knowledge or hand-on experience in Fintech, Financial or Banking domain.</li><li>Understanding of BABOK® Knowledge Areas is a plus.</li><li>Being knowledgeable or experienced in an Agile environment, good logical thinking, analytical thinking, critical thinking, and problem-solving.</li><li>Experience in working in technology-enabled change programs/projects, and software development is a plus.</li><li>Having experience in developing and launching Digital Bank products is a plus.</li><li>Being familiar with the BA toolbox i.e. Jira, Confluence, PlantUML, MS Visio, etc</li><li>Professional certificates in Business Analysis is a plus.</li></ul>
        ",Full-time,Information Technology
185,Head of MarCom - Project S600,MBBank,"
          <p><strong>About us</strong></p><p>ASW Consulting is an Australian-owned boutique recruitment and HR consultancy firm which is focused on providing top talent to multinational companies in the South East Asian market. </p><p><br></p><p><strong>The Opportunity</strong></p><p>The Business Analyst will play a key part in establishing and building a new business. This business will act as a centralized hub providing digital solutions and application development across the Digital business. You will bring a passion for meeting the needs of individuals and businesses through a range of banking products as well as a deep understanding of the benefits that technology can bring to customers’ daily lives.</p><p><br></p><p><strong>Key Responsibilities</strong></p><ul><li>Working with stakeholders to understand their needs, concerns, and the environment they operate in to define detailed requirements. Gather, organize and synthesize large amounts of information from various sources.</li><li>Effectively identify and define business needs and problems/issues to enable a feasible solution scope to be developed.</li><li>Effectively communicating requirements to stakeholders, managing conflicts, issues, and changes in order to ensure that stakeholders and project team members remain in agreement on solution scope.</li><li>Contributes to the conversion of business needs into functional designs and conducts product training as needed.</li><li>Identifies and manages gaps, determining the effectiveness of proposed solutions and developing Business Requirements documents and models.</li><li>Identify the risks associated with the proposed solution as well as the risk of not implementing the solution.</li><li>Work closely with Digital Product Owner (DPO) to understand product vision, priority, and roadmap, and clarify and manage the product backlog.</li><li>Ensure the Team understands the product requirements &amp; backlog and that the product is delivered at high quality.</li></ul><p><br></p><p><strong>Key Requirements</strong></p><ul><li>B.Sc or M.Sc in Computer Science or a related discipline with proven “hands-on” development experience.</li><li>At least 7+ years of experience in business analysis.</li><li>Excellent English communication (writing, reading, speaking, and listening).</li><li><strong>MUST HAVE</strong> a domain knowledge or hand-on experience in Fintech, Financial or Banking domain.</li><li>Understanding of BABOK® Knowledge Areas is a plus.</li><li>Being knowledgeable or experienced in an Agile environment, good logical thinking, analytical thinking, critical thinking, and problem-solving.</li><li>Experience in working in technology-enabled change programs/projects, and software development is a plus.</li><li>Having experience in developing and launching Digital Bank products is a plus.</li><li>Being familiar with the BA toolbox i.e. Jira, Confluence, PlantUML, MS Visio, etc</li><li>Professional certificates in Business Analysis is a plus.</li></ul>
        ",,
186,Customer Service Solution Senior Specialist,Prudential Vietnam Assurance Private Ltd.,"
          Prudential’s purpose is to be partners for every life and protectors for every future. Our purpose encourages everything we do by creating a culture in which diversity is celebrated and inclusion assured, for our people, customers, and partners. We provide a platform for our people to do their best work and make an impact to the business, and we support our people’s career ambitions. We pledge to make Prudential a place where you can Connect, Grow, and Succeed.<br><br>This role is to deliver all company level/strategic and CS KPIs, including best-in-class customer experience at new service channel as General Agency/ CSC/CEC/ PruVenture, Banca,…..<br><br><ul><li>Assist partners (General Agency, Bancassurance, Bank partners) in conducting daily business activities, measuring business efficiency, and providing business solutions.</li><li>Detect customer service issues, determine the cause of the problems and select the best solution to solve problem.</li><li>Work with the Customer Service/ relevant departments to ensure successful deployment of the solutions.</li><li>Responsible for customer retention activities under management zone to achieve the business goals, cluding: premium collection, conservation, policy maturity, and management of orphaned customers.</li><li>Monitor the implementation of Customer Retention Strategy through all relevant partners: General Agency , Bancassurance, Bank partners in the province / city under management.</li><li>Lead the coordination process for Customer Care’s campaigns/initiatives in the management zone.</li><li>Regularly visit General Agency/ Pruventure Offices to provide timely solutions/advice in terms of customer service activities including frequent training and guidance for Pru planners/ Business Development Managers to ensure delivery of services excellence under PVA standards, including one door services and customer service recovery.</li><li>Act as the main contact point between business partners (Bancassurance, Bank partners Pruventure) and CS, regarding all Customer Service issues as well as other supporting tasks.</li><li>Coordinate with other departments to ensure the implementation of all projects, action plans related to Customer Experience and Customer Retention strategies under Customer Service Department on schedule.</li><li>Lead service recovery and complaint handling activities at frontline. Coordinate with GAD, Bank Partner and other departments and local authorities to assist in handling complaints, incidents / conflicts ... occurring at GA/Bank.<br><br><br></li></ul><strong>Requirement<br><br></strong>Qualifications<br><br><ul><li> College or BA degree, majors: Economics, Banking or Foreign Trade or Service industry</li><li> Knowledge and skill</li><li> Business Commercial acumen</li><li> Critical thinking and sound judgement</li><li> Advanced communication</li><li> Relationship building</li><li> Demonstrations of core values: Empathetic, Curious, Nimble, Courageous and Ambitious</li><li> Complaint Handling<br><br><br></li></ul><strong>Prudential is an equal opportunity employer.</strong> We provide equality of opportunity of benefits for all who apply and who perform work for our organisation irrespective of sex, race, age, ethnic origin, educational, social and cultural background, marital status, pregnancy and maternity, religion or belief, disability or part-time / fixed-term work, or any other status protected by applicable law. We encourage the same standards from our recruitment and third-party suppliers taking into account the context of grade, job and location. We also allow for reasonable adjustments to support people with individual physical or mental health requirements.
        ",Full-time,Other
187,Product Executive,JD Tours Vietnam,"
          <p>Product Executive Position Overview:</p><p>• Serve as a ""knowledge bank"" for destinations and the go-to person for ideas and recommendations for other teams.</p><p>• Research and develop new travel products across Vietnam as directed by the Product Manager.</p><p>• Produce annual transfer and tour Tariffs for destinations.</p><p>• Update useful tools for the Travel Consultant team and worldwide Sales teams, such as presentations on preferred hotels, restaurants, boats, and tour experiences.</p><p>• Travel within destinations to inspect and monitor existing products and to research and develop new ones as needed.</p><p>• Ensure the selection of suppliers based on the company’s sustainability criteria.</p><p>Qualifications Required:</p><p>• At least 3 years of experience as a Travel Consultant or Product Executive (currently working in an inbound travel company)</p><p>• Bachelor’s degree in Tourism or a related field.</p><p>• Excellent command of English, especially writing skills.</p><p>• Basic design app knowledge is a big plus.</p><p>Skills:</p><p>• Solid destination knowledge of Vietnam.</p><p>• Strong presentation and organizational skills.</p><p>• Ability to make decisions and solve problems independently.</p><p>• Strong teamwork spirit.</p><p>• Good computer literacy (Microsoft Word, Excel, PowerPoint, Outlook).</p>
        ",Full-time,Business Development and Sales
188,"AVP, Corporate Credit Analyst, Institutional Banking Group, DBS Vietnam HCMC",DBS Bank,"
          <p>Product Executive Position Overview:</p><p>• Serve as a ""knowledge bank"" for destinations and the go-to person for ideas and recommendations for other teams.</p><p>• Research and develop new travel products across Vietnam as directed by the Product Manager.</p><p>• Produce annual transfer and tour Tariffs for destinations.</p><p>• Update useful tools for the Travel Consultant team and worldwide Sales teams, such as presentations on preferred hotels, restaurants, boats, and tour experiences.</p><p>• Travel within destinations to inspect and monitor existing products and to research and develop new ones as needed.</p><p>• Ensure the selection of suppliers based on the company’s sustainability criteria.</p><p>Qualifications Required:</p><p>• At least 3 years of experience as a Travel Consultant or Product Executive (currently working in an inbound travel company)</p><p>• Bachelor’s degree in Tourism or a related field.</p><p>• Excellent command of English, especially writing skills.</p><p>• Basic design app knowledge is a big plus.</p><p>Skills:</p><p>• Solid destination knowledge of Vietnam.</p><p>• Strong presentation and organizational skills.</p><p>• Ability to make decisions and solve problems independently.</p><p>• Strong teamwork spirit.</p><p>• Good computer literacy (Microsoft Word, Excel, PowerPoint, Outlook).</p>
        ",,
189,"VP, Business Audit, Wholesale Banking",Aloha Consulting Group,"
          <p>Product Executive Position Overview:</p><p>• Serve as a ""knowledge bank"" for destinations and the go-to person for ideas and recommendations for other teams.</p><p>• Research and develop new travel products across Vietnam as directed by the Product Manager.</p><p>• Produce annual transfer and tour Tariffs for destinations.</p><p>• Update useful tools for the Travel Consultant team and worldwide Sales teams, such as presentations on preferred hotels, restaurants, boats, and tour experiences.</p><p>• Travel within destinations to inspect and monitor existing products and to research and develop new ones as needed.</p><p>• Ensure the selection of suppliers based on the company’s sustainability criteria.</p><p>Qualifications Required:</p><p>• At least 3 years of experience as a Travel Consultant or Product Executive (currently working in an inbound travel company)</p><p>• Bachelor’s degree in Tourism or a related field.</p><p>• Excellent command of English, especially writing skills.</p><p>• Basic design app knowledge is a big plus.</p><p>Skills:</p><p>• Solid destination knowledge of Vietnam.</p><p>• Strong presentation and organizational skills.</p><p>• Ability to make decisions and solve problems independently.</p><p>• Strong teamwork spirit.</p><p>• Good computer literacy (Microsoft Word, Excel, PowerPoint, Outlook).</p>
        ",,
190,"Analyst/Senior Analyst – Finance (Bangkok based, relocation provided)",Agoda,"
          <strong>About Agoda<br><br></strong>Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.<br><br><strong> Our Purpose – </strong><strong> Bridging the World Through Travel <br><br></strong>We believe travel allows people to enjoy, learn and experience more of the amazing world we live in. It brings individuals and cultures closer together, fostering empathy, understanding and happiness.<br><br>We are a skillful, driven and diverse team from across the globe, united by a passion to make an impact. Harnessing our innovative technologies and strong partnerships, we aim to make travel easy and rewarding for everyone.<br><br><strong>We are looking for Analyst or Senior Analyst to join Finance team in Bangkok. This role is based in Bangkok. Relocation is provided. <br><br></strong><strong>In this Role, you’ll get to: <br><br></strong><ul><li>Collaborate with senior business partners in impactful projects</li><li>Assist in development of business cases related to Agoda’s strategic priorities</li><li>Own parts of the company’s forecasts</li><li>Contribute to the team’s key analysis and reporting packs</li><li>Be part of a diverse international team of finance professionals</li><li>Help the team provide the necessary information for effective decision-making<br><br></li></ul><strong>What you’ll Need to Succeed:<br><br></strong><ul><li>Preferred 2-5 years of total experience, with some of them ideally in an analytically focused role requiring strong commercial creativity and sound financial skills</li><li>Open for fresh grad with educational background in Finance</li><li>Intellectually strong &amp; curious – good strategic thinker with commercial acumen and judgement</li><li>Ability to quickly adapt to a fast-paced environment</li><li>Excellent analytical/numerical skills – including strong attention to detail</li><li>Good communication skills – ability to convey messages in a clear and concise manner</li><li>Basic Excel/Pivot<br><br></li></ul><strong>It’s Great if you have:<br><br></strong><ul><li>Bachelor’s Degree or higher from top university in business-related or quantitative subject</li><li>Finance/Corporate Finance/Accounting qualification a plus (e.g. CFA, ACA or CIMA)</li><li>Experience working in a digital company would be beneficial</li><li>Proficiency with SQL and Tableau or willingness to learn<br><br></li></ul><strong> #2 #3 #FIN #Bangkok </strong><strong>#taipei #kualalumpur #jakarta #hongkong #hcmc #hanoi #manila <br><br></strong><strong>Equal Opportunity Employer <br><br></strong>At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.<br><br>We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .<br><br>To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.<br><br>
        ",Full-time,Business Development and Sales
191,General Accountant,Sucafina,"
          <strong>About Agoda<br><br></strong>Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.<br><br><strong> Our Purpose – </strong><strong> Bridging the World Through Travel <br><br></strong>We believe travel allows people to enjoy, learn and experience more of the amazing world we live in. It brings individuals and cultures closer together, fostering empathy, understanding and happiness.<br><br>We are a skillful, driven and diverse team from across the globe, united by a passion to make an impact. Harnessing our innovative technologies and strong partnerships, we aim to make travel easy and rewarding for everyone.<br><br><strong>We are looking for Analyst or Senior Analyst to join Finance team in Bangkok. This role is based in Bangkok. Relocation is provided. <br><br></strong><strong>In this Role, you’ll get to: <br><br></strong><ul><li>Collaborate with senior business partners in impactful projects</li><li>Assist in development of business cases related to Agoda’s strategic priorities</li><li>Own parts of the company’s forecasts</li><li>Contribute to the team’s key analysis and reporting packs</li><li>Be part of a diverse international team of finance professionals</li><li>Help the team provide the necessary information for effective decision-making<br><br></li></ul><strong>What you’ll Need to Succeed:<br><br></strong><ul><li>Preferred 2-5 years of total experience, with some of them ideally in an analytically focused role requiring strong commercial creativity and sound financial skills</li><li>Open for fresh grad with educational background in Finance</li><li>Intellectually strong &amp; curious – good strategic thinker with commercial acumen and judgement</li><li>Ability to quickly adapt to a fast-paced environment</li><li>Excellent analytical/numerical skills – including strong attention to detail</li><li>Good communication skills – ability to convey messages in a clear and concise manner</li><li>Basic Excel/Pivot<br><br></li></ul><strong>It’s Great if you have:<br><br></strong><ul><li>Bachelor’s Degree or higher from top university in business-related or quantitative subject</li><li>Finance/Corporate Finance/Accounting qualification a plus (e.g. CFA, ACA or CIMA)</li><li>Experience working in a digital company would be beneficial</li><li>Proficiency with SQL and Tableau or willingness to learn<br><br></li></ul><strong> #2 #3 #FIN #Bangkok </strong><strong>#taipei #kualalumpur #jakarta #hongkong #hcmc #hanoi #manila <br><br></strong><strong>Equal Opportunity Employer <br><br></strong>At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.<br><br>We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .<br><br>To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.<br><br>
        ",,
192,M&A Analyst,BDA Partners,"
          <p>About BDA</p><p>BDA Partners (“BDA”) is a leader in cross-border investment banking, advising on acquisitions, divestments, JVs, capital raising, and restructuring involving Asia. BDA has been majority owned and managed by its employees since it was established in 1996.</p><p>BDA has an extensive track record of providing independent advice to entrepreneurs, blue-chip corporate and financial sponsor clients from North America, Europe and Asia.</p><p>BDA has teams of dedicated professionals located across Asia, the US and Europe with offices in New York, London, Mumbai, Singapore, Ho Chi Minh City, Hong Kong, Shanghai, Seoul and Tokyo. With more than 120 professionals, BDA has one of the largest and most experienced M&amp;A teams in Asia.</p><p>BDA works across many sectors and has strong regional experience in Asia, with particularly deep expertise in the Chemicals, Consumer &amp; Retail, Healthcare, Industrials, Services, Sustainability and Technology sectors.</p><p>www.bdapartners.com</p><p> </p><p><strong>Role of the Analyst</strong></p><p>BDA Partners is seeking a highly motivated experienced M&amp;A Analyst for its Ho Chi Minh City office. A career with BDA is an excellent opportunity to gain an expansive breadth of hands-on experience across sectors, focusing on M&amp;A (sellside and buyside) and capital raising.</p><p>The prospective candidate will provide project management and execution support on complex transactions and prepare presentation materials to communicate key messages to clients and counterparties. Specific duties will include assistance in the preparation of financial models, valuation analysis, marketing documentation and research.</p><p> </p><p><strong>Responsibilities</strong></p><ul><li>Work with clients and participate in the execution of cross-border M&amp;A transactions</li><li>Provide support to senior investment banking professionals to develop marketing leads and ideas to generate new business</li><li>Define and prepare financial and technical analysis for various M&amp;A engagements, including buyside, sellside, corporate carve-outs, and cross-border M&amp;A situations</li><li>Assist senior bankers in process management</li><li>Support negotiations and preparation of key transaction documents</li><li>Conduct due diligence and assess seller’s and target’s business plans, growth prospects and financial performance</li><li>Perform valuation analysis and apply diverse methodologies, including comparable company, precedent transaction, leveraged buyout, and discounted cash flow analysis</li><li>Attend and actively participate in meetings with client’s senior team members</li><li>A wide variety of other tasks to support the diverse activities of M&amp;A advisory</li></ul><p> </p><p><strong>Essential (‘Core’) Competencies</strong></p><ul><li>At least 1 year of M&amp;A experience and training in a similar role with another investment bank</li><li>Experience working on M&amp;A sellside deals in the origination and execution phases</li><li>Strong quantitative and accounting skills</li><li>Experience working on cross-border mandates or in multicultural environments</li><li>Strong work ethic, a “team player,” organized, self-disciplined, and high level of attention to detail</li><li>Excellent interpersonal and communication skills</li><li>Professional proficiency in English and Vietnamese</li><li>Additional Asian foreign language fluency (Chinese, Cantonese, Japanese, Korean) welcome, but not required</li><li>Willingness to travel</li></ul><p> </p><p><br></p><p>All information received will be kept in strict confidence and used only for employment-related purposes. Unfortunately, given the number of applications we receive, only short-listed candidates will be contacted for an interview.</p><p></p>
        ",Full-time,"Accounting/Auditing, Research, Finance"
193,"Head Office HCM - Officer, Wholesale Banking Operations",Techcombank (TCB),"
          <strong>Job Purpose<br></strong><ul><li> Perform the compliance with accounting procedures and processes; check and control the quantity and legality of customers provided documents ,support other departments within the scope of work<br><br></li></ul><strong>Key Accountabilities<br></strong>Customer service activities<br><br>Front office operations for Wholesale Banking Division: Provide customers related services and consulting trasactions on assigned business area (Domestic Payment/International Payment) (excluding cash, treasury and credit services with collateral other than type 1):<br><br><ul><li> Ensuring customer satisfaction with the bank’s service quality. Support in solving WB units issues regarding customer service and operation.</li><li> Support and coordinate with WB’s and other units to consult and solve issues related to customer service, answer customers inquiries on service quality to provide customers with a speedy, accurate and complete service.</li><li> Transactions handling:</li><li> Provide Techcombank forms (files/documents)</li><li> Receive custromer’s request and check the legality and logical of customers provided documents, ensure the correctness of form use, in compliance to Techcombank regulations and the law. Verify domestic transactions details, stamp the documents, compare request made via fax/email at the end of the day</li><li> Perform accounting input for transactions on assigned business area as per internal policies, procedures,process,guideline...</li><li> Handling customers feedback, complaints; being the contact point with customers until the issues are resolved</li><li> Draft aggrements/contracts in accordance to Techcombank’s regulations from time to time.</li><li> Others tasks as per Techcombank’s regulation from time to time</li><li> Consult, guiding and support customers on products, services, finding suitable solutions for customers needs that complied with Techcombank regulations</li><li> Consult, guiding customers on E-banking services</li></ul><li><br><br></li>Service quality management<br><br><ul><li> Identify and report to superiors potential operational risks.</li><li> Suggest new ideas to improve current products quality, comments on related procedures, products, services provided by the unit.</li><li> Check transaction documents, ensuring the accurate information and sufficient quantity. File and archive accounting documents according to Techcombank’s regulations. Responsible for tracking and collecting incomplete documents, ensuring the proper authorization applied. Working with RM and customers to complete these documents in accordance to bank regulations</li><li> Perform assigned tasks in accordance to the committed SLAs, meeting customers demand in a timely fashion.</li><li> Provide documents for internal inspection and control of Techcombank or at the request of relevant agencies as approved by the Board.</li><li> Responsible for controlling check points to ensure operation function smoothly and control of operational risks.</li><li> Responsible for criteria related to customer services’ quality, interaction time, operation risks related to transactions operations, process improvement.</li><li> Report to Controller/Director Wholesales Banking Operations related issues of customer that are not resolved timely at other depts<br><br></li></ul><strong>Key Relationships - Internal Stakeholders<br></strong>The business and legal divisions of the WB division, / the GTS division/ the CA division/ units of the Operations division; other functional blocks and departments of the Head Office<br><br><strong>Key Relationships - External Stakeholders<br></strong>Customers, commercial banks, State Bank of Vietnam, tax authorities, notary agencies, registration agencies for secured transactions…<br><br><strong>Success Profile - Qualification and Experiences<br></strong><ul><li> University graduate (prioritize major: Finance, Accounting, Banking, Foreign trade)</li><li> At least 3 year of experiences domestic payment/international payment/trade finance/customer services</li><li> Having a certain common perception about the bank: core values, objectives, vision</li><li> Experience in the unit's products :Know the products and services that the unit is providing as well as commitment to SLA for those transactions.</li><li> Understanding in processes / regulations: good understanding of control related processes / regulations; understand the ways / principles to handle arising transactions</li><li> Foreign Languages: English - According to TCB's regulations from time to time</li><li> Competence in computer software</li><li> Workplace: 9 Ton Duc Thang, Dist 1, HCMC<br><br></li></ul><strong>Contact: Ms Phương - 0969154339 - Phuongnth22@techcombank.com.vn</strong>
        ",Full-time,Administrative
194,Senior Quality Control Engineer,Techcombank (TCB),"
          <strong>Job Purpose<br></strong><ul><li> Perform the compliance with accounting procedures and processes; check and control the quantity and legality of customers provided documents ,support other departments within the scope of work<br><br></li></ul><strong>Key Accountabilities<br></strong>Customer service activities<br><br>Front office operations for Wholesale Banking Division: Provide customers related services and consulting trasactions on assigned business area (Domestic Payment/International Payment) (excluding cash, treasury and credit services with collateral other than type 1):<br><br><ul><li> Ensuring customer satisfaction with the bank’s service quality. Support in solving WB units issues regarding customer service and operation.</li><li> Support and coordinate with WB’s and other units to consult and solve issues related to customer service, answer customers inquiries on service quality to provide customers with a speedy, accurate and complete service.</li><li> Transactions handling:</li><li> Provide Techcombank forms (files/documents)</li><li> Receive custromer’s request and check the legality and logical of customers provided documents, ensure the correctness of form use, in compliance to Techcombank regulations and the law. Verify domestic transactions details, stamp the documents, compare request made via fax/email at the end of the day</li><li> Perform accounting input for transactions on assigned business area as per internal policies, procedures,process,guideline...</li><li> Handling customers feedback, complaints; being the contact point with customers until the issues are resolved</li><li> Draft aggrements/contracts in accordance to Techcombank’s regulations from time to time.</li><li> Others tasks as per Techcombank’s regulation from time to time</li><li> Consult, guiding and support customers on products, services, finding suitable solutions for customers needs that complied with Techcombank regulations</li><li> Consult, guiding customers on E-banking services</li></ul><li><br><br></li>Service quality management<br><br><ul><li> Identify and report to superiors potential operational risks.</li><li> Suggest new ideas to improve current products quality, comments on related procedures, products, services provided by the unit.</li><li> Check transaction documents, ensuring the accurate information and sufficient quantity. File and archive accounting documents according to Techcombank’s regulations. Responsible for tracking and collecting incomplete documents, ensuring the proper authorization applied. Working with RM and customers to complete these documents in accordance to bank regulations</li><li> Perform assigned tasks in accordance to the committed SLAs, meeting customers demand in a timely fashion.</li><li> Provide documents for internal inspection and control of Techcombank or at the request of relevant agencies as approved by the Board.</li><li> Responsible for controlling check points to ensure operation function smoothly and control of operational risks.</li><li> Responsible for criteria related to customer services’ quality, interaction time, operation risks related to transactions operations, process improvement.</li><li> Report to Controller/Director Wholesales Banking Operations related issues of customer that are not resolved timely at other depts<br><br></li></ul><strong>Key Relationships - Internal Stakeholders<br></strong>The business and legal divisions of the WB division, / the GTS division/ the CA division/ units of the Operations division; other functional blocks and departments of the Head Office<br><br><strong>Key Relationships - External Stakeholders<br></strong>Customers, commercial banks, State Bank of Vietnam, tax authorities, notary agencies, registration agencies for secured transactions…<br><br><strong>Success Profile - Qualification and Experiences<br></strong><ul><li> University graduate (prioritize major: Finance, Accounting, Banking, Foreign trade)</li><li> At least 3 year of experiences domestic payment/international payment/trade finance/customer services</li><li> Having a certain common perception about the bank: core values, objectives, vision</li><li> Experience in the unit's products :Know the products and services that the unit is providing as well as commitment to SLA for those transactions.</li><li> Understanding in processes / regulations: good understanding of control related processes / regulations; understand the ways / principles to handle arising transactions</li><li> Foreign Languages: English - According to TCB's regulations from time to time</li><li> Competence in computer software</li><li> Workplace: 9 Ton Duc Thang, Dist 1, HCMC<br><br></li></ul><strong>Contact: Ms Phương - 0969154339 - Phuongnth22@techcombank.com.vn</strong>
        ",,
195,Head of Investment Research,L4 Studio - Software Development Company,"
          <p><strong>Responsibilities</strong></p><ul><li>Develop financial models for VC financing transactions, restructurings, valuation analyses, and liquidity events.</li><li>Perform due diligence such as customer and management references, industry research (e.g. market sizing and mapping and competitive landscape analyses), while demonstrating the ability to form a viewpoint on investment opportunities.</li><li>Craft investment memoranda and presentation materials for the partnership, and in a lead investor capacity, to include developing and refining presentation themes, data gathering and synthesis, and constructing professional presentation materials.</li><li>Work with portfolio companies to enhance operations and performance, report on portfolio company performance, and support them on ad hoc projects.</li><li>Create processes and infrastructures to ensure the long-term scalability of the company's investment process.</li></ul><p><strong>Requirements</strong></p><ul><li>Extensive investing experience in the blockchain and cryptocurrency space.</li><li>CFA certification is a must.</li><li>An outstanding performer with years of experience at a top tier venture capital, accelerator, investment bank, consulting firm, corporate venture capital / private equity firm or active M&amp;A corporate development group.</li><li>Demonstrated experience leading the strategic alliance and M&amp;A process for opportunities focused on technology spaces that align with corporate clients focus. The ideal candidate will have managed transactions that range in size and complexity; proven ability to drive from start to finish (or know when to walk away from a deal)</li><li>Expert level knowledge of startup financial corporate and deal modeling as well as quantitative analysis.</li><li>Proven ability to lead, recruit, retain and mentor high performing teams of Venture Partners and Principals.</li></ul><p><strong>Benefits</strong></p><ul><li>Working location:&nbsp;Remote Full-time</li><li>Salary range:&nbsp;Up to USD 3,000 NET</li></ul>
        ",Full-time,Finance and Sales
